mainid	name	city	country	publication	functions	adafter	adbefore	ahafter	ahbefore
EA.CA.2126	Mshatta (MIA, Berlin)	Mshatta	Jordan	EMA.1969.1.ii.pl.120	palace, architectural drawing	725	750	107	133
EA.CA.2127	Madrasa of Sultan Baibars al-Bunduqdari	Cairo	Egypt	MAE.1959.2.pl.45a	madrasa	1262	1263	660	662
EA.CA.2128	Madrasa and Mausoleum of Sultan al-Nasir Muhammad	Cairo	Egypt		madrasa, mausoleum	1295	1304	695	703
EA.CA.2129	Mosque of al-Salih Tala&apos;i`	Cairo	Egypt	MAE.1952.1.pl.106	mosque	1160	1160	555	555
EA.CA.2130	Mosque of al-Salih Tala&apos;i` (MIA, Cairo)	Cairo	Egypt	MAE.1952.1.pl.100a	mosque, architectural fragment	1160	1160	555	555
EA.CA.2133	Great Mosque of Qairawan	Qairawan	Tunisia	EMA.1932.1.figs 398 and 399	mosque	836	875	221	262
EA.CA.2135	Qasr al-Hair al-Sharqi	Qasr al-Hair al-Gharbi	Syria	EMA.1969.1.ii.fig.578	palace, mosque, architectural drawing	700	729	80	111
EA.CA.2136	Qasr al-Hair al-Gharbi	Qasr al-Hair al-Gharbi	Syria	EMA.1969.1.ii.fig.576	palace, mosque, architectural drawing	724	729	105	109
EA.CA.2143	Qusair `Amra	Qusair `Amra	Jordan		bath-house	725	750	107	133
EA.CA.2144	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.figs 557, 558	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2145	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.fig.558	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2146	Qusair al-Hallabat	Qusair al-Hallabat	Jordan	EMA.1969.1.ii.fig.559	palace, mosque, architectural drawing	725	730	107	112
EA.CA.2148	Hammam al-Sarakh	Hammam al-Sarakh	Jordan	EMA.1969.1.ii.fig.554	bath-house	725	730	107	112
EA.CA.2152	Qastal and Mshatta	Qastal and Mshatta	Jordan	EMA.1969.1.ii.figs 565 b and i	architectural drawing, fortress, mosque, palace	720	750	102	133
EA.CA.2153	Ukhaidir	Ukhaidir	Iraq	EMA.1969.1.ii.fig.566d	palace, architectural drawing	778	0	162	0
EA.CA.2155	Qasr al-Hair al-Sharqi	Qasr al-Hair al-Sharqi	Syria	EMA.1969.1.ii.fig.569	palace, caravanserai, architectural drawing	700	729	80	111
EA.CA.2156	Qasr al-Hair al-Sharqi	Qasr al-Hair al-Sharqi	Syria	EMA.1969.1.ii.fig.575	palace, architectural drawing	700	729	80	111
EA.CA.2159	Mausoleum of Bizzus	Ruwaiha	Syria	EMA.1969.1.ii.fig.506	mausoleum, architectural drawing	500	550	0	0
EA.CA.2167	Qasr al-Hair al-Sharqi	Qasr al-Hair al-Sharqi	Syria	EMA.1969.1.ii.fig.577	palace, architectural drawing	700	729	80	111
EA.CA.2169	Qasr al-Hair al-Sharqi	Qasr al-Hair al-Sharqi	Syria	EMA.1969.1.ii.fig.570	palace, architectural drawing	700	729	80	111
EA.CA.2173	Mosque of Bu Fatata	Susa	Tunisia	EMA.1940.2.fig.195	mosque, architectural drawing	838	841	223	226
EA.CA.2177	Mausoleum of Sultan Qala&apos;un	Cairo	Egypt		mausoleum, maristan, madrasa	1285	1285	683	684
EA.CA.2178	Mosque of Sultan al-Mu&apos;ayyad Shaikh	Cairo	Egypt		madrasa, mausoleum, mosque	1415	1420	818	823
EA.CA.2180	Citadel,  Burj al-Imam	Cairo	Egypt	MAE.1940.2.fig.8	citadel, architectural drawing	1207	1208	604	604
EA.CA.2181	Dar al-Imara of Abu Muslim	Marv	Turkmenistan	EMA.1940.2.fig.1	palace, architectural drawing	747	755	130	138
EA.CA.2182	Round City of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.2	architectural drawing, city	762	762	145	145
EA.CA.2183	Round City of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.3	architectural drawing, city	762	762	145	145
EA.CA.2184	Round City of al-Mansur	Baghdad	Iraq	EMA.1940.2.figs 4 and 5	architectural drawing, gateway	762	762	145	145
EA.CA.2185	Great Mosque of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.24	architectural drawing, mosque	762	762	145	145
EA.CA.2186	Great Mosque of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.25	architectural drawing, mosque	762	762	145	145
EA.CA.2187	Great Mosque of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.26	architectural drawing, mihrab	762	762	145	145
EA.CA.2188	Raqqa	Raqqa	Syria	EMA.1940.2.fig.27	architectural drawing, city	772	772	156	156
EA.CA.2189	Baghdad Gate	Raqqa	Syria	EMA.1940.2.fig.28	gateway, architectural drawing	1100	1200	494	597
EA.CA.2190	Baghdad Gate	Raqqa	Syria	EMA.1940.2.fig.29	gateway, architectural drawing	1100	1200	494	597
EA.CA.2191	Baghdad Gate	Raqqa	Syria	EMA.1940.2.figs 30, 31	gateway, architectural drawing	1100	1200	494	597
EA.CA.2192	Baghdad Gate	Raqqa	Syria	EMA.1940.2.fig.32	gateway, architectural drawing	1100	1200	494	597
EA.CA.2193	Great Mosque of Raqqa	Raqqa	Syria	EMA.1940.2.fig.33	architectural drawing, mosque	772	1166	156	561
EA.CA.2194	Great Mosque of Raqqa	Raqqa	Syria	EMA.1940.2.fig.34	architectural drawing, mosque	772	772	156	156
EA.CA.2195	Great Mosque of al-Mansur	Baghdad	Iraq	EMA.1940.2.fig.26	architectural drawing, mihrab	762	762	145	145
EA.CA.2196	Great Mosque of Harran	Harran	Turkey	EMA.1932.1.figs 489 490	architectural drawing, mosque	744	1184	127	580
EA.CA.2197	Bir al-`Anaziyya	Ramla	Palestine	EMA.1940.2.fig.152	architectural drawing, cistern	789	789	172	172
EA.CA.2198	Bir al-`Anaziyya	Ramla	Palestine	EMA.1940.2.fig.151	architectural drawing, cistern	789	789	172	172
EA.CA.2199	Mosque of Ahmad ibn Tulun	Cairo	Egypt	EMA.1940.2.figs 246 and 247	mosque, architectural drawing	876	879	263	265
