"ID","CON1","CON2"
872,3872,3847
873,3178,3847
874,3464,3178
875,4027,3178
876,1745,4010
877,2455,1161
878,1798,3705
879,1241,1768
880,1768,1140
881,3312,1664
882,2232,3683
883,5027,1844
884,3230,2043
885,1914,3287
886,3307,1326
887,1553,3979
888,3979,3980
889,2566,3532
890,3597,3791
891,3586,3597
892,3533,3584
893,3042,3595
894,3595,3751
895,3800,3732
896,3732,3751
897,3533,3800
898,3751,3812
899,3751,3756
900,3751,3802
901,3751,3804
902,3597,3532
903,3533,3735
904,1759,1640
905,3533,3805
906,3533,3809
907,3533,3727
908,2083,5461
909,4125,4379
910,4129,4125
911,3284,5755
912,2083,3248
913,4363,4385
914,4385,4384
915,4384,2083
916,4095,4096
917,1160,4360
918,1746,4356
919,1157,4361
920,1163,4364
921,1162,4364
922,2125,4364
923,2124,4364
924,2004,4355
925,1158,4373
926,2022,4124
927,4124,4129
928,4124,3284
929,4373,3398
930,4355,3398
931,3926,5520
932,3638,3925
933,4364,3926
934,3627,3925
935,3382,2004
936,1152,3628
937,3382,1152
938,1818,2124
939,1818,2125
940,1818,1162
941,1818,1163
942,1818,1157
943,3678,4354
944,4354,4127
945,4127,1150
946,4127,2124
947,4127,2125
948,4127,1162
949,4127,1163
950,4127,1157
951,4099,4359
952,3375,1746
953,3375,1160
954,3375,4099
955,3375,1161
956,3375,2124
957,3375,2125
958,3375,1162
959,3375,1163
960,3680,1746
961,3680,1160
962,3680,4099
963,3680,1161
964,1533,3924
965,3247,1015
966,3247,1533
967,3247,1018
968,3382,3398
969,2074,2455
970,4494,4481
971,1844,4376
972,2036,1164
973,3232,3704
974,1015,3972
975,1018,3972
976,3201,4085
977,3923,3961
978,3201,4001
979,4624,4085
980,3201,3923
981,2036,3201
982,4117,4381
983,6588,4117
984,4415,6093
985,4394,4400
986,4398,4400
987,4128,4398
988,4128,4394
989,4123,4128
990,4386,4128
991,4382,4386
992,4375,4382
993,4121,4375
994,3628,3627
995,4208,4792
996,4808,4208
997,4780,4791
998,4771,4780
999,4154,4171
1000,4152,4808
1001,4152,4771
1002,4769,4770
1003,4212,4213
1004,4211,4214
1005,4214,4222
1006,3532,4186
1007,4750,4248
1008,4868,4750
1009,4806,4170
1010,4164,4188
1011,4198,4783
1012,4210,4209
1013,4153,4230
1014,4772,4170
1015,4243,4170
1016,3594,4799
1017,3594,4163
1018,3819,4153
1019,3178,4164
1020,4789,4152
1021,4778,4789
1022,4778,4778
1023,4215,4152
1024,4196,4224
1025,4556,4573
1026,4201,4202
1027,4187,4189
1028,4189,4199
1029,4199,4200
1030,4200,4201
1031,4169,4177
1032,3817,4187
1033,3817,4169
1034,4191,4198
1035,4193,4198
1036,4150,4151
1037,4174,4150
1038,4221,4174
1039,3816,4151
1040,4820,5858
1041,4818,4819
1042,4821,4823
1043,4186,4772
1044,4188,4781
1045,4781,4758
1046,4152,4185
1047,4870,4818
1048,4811,4870
1049,4197,4152
1050,4179,4197
1051,4203,4206
1052,4202,4203
1053,4204,4205
1054,4152,4815
1055,4204,4207
1056,4222,4858
1057,4774,4790
1058,3819,4774
1059,4163,4170
1060,4225,4215
1061,3802,4225
1062,5752,5497
1063,4604,4847
1064,4151,4152
1065,4151,4154
1066,4161,4170
1067,4177,4152
1068,1254,1759
1069,1254,4716
1070,1254,4662
1071,1254,4655
1072,4725,4737
1073,4737,4704
1074,4679,4675
1075,4672,4677
1076,4682,4681
1077,4656,4715
1078,4673,4678
1079,4715,4658
1080,4657,4659
1081,4578,4587
1082,4564,4571
1083,4563,4570
1084,4681,4667
1085,4658,4667
1086,4678,4667
1087,4659,4667
1088,3313,4682
1089,3313,4656
1090,3313,4673
1091,3313,4657
1092,4101,3313
1093,1170,1832
1094,1170,1753
1095,4152,5249
1096,1975,4634
1097,4001,4634
1098,4095,4634
1099,4567,4634
1100,4561,4634
1101,3270,3280
1102,3277,4634
1103,4605,4634
1104,3036,1975
1105,3036,4001
1106,3659,5412
1107,3288,4576
1108,3257,3704
1109,4553,3257
1110,3297,3704
1111,4058,4079
1112,4079,4558
1113,4558,4569
1114,4569,4589
1115,4589,4581
1116,4589,4597
1117,4636,5421
1118,4559,4598
1119,4636,5407
1120,4582,4593
1121,3975,4597
1122,3965,3975
1123,4594,4637
1124,4572,4582
1125,4572,3965
1126,4579,4583
1127,5417,4636
1128,4623,4636
1129,4607,4636
1130,4556,4634
1131,4624,4553
1132,4624,3288
1133,4624,3946
1134,1914,3266
1135,3272,5797
1136,4635,5797
1137,4624,3977
1138,3920,3948
1139,3948,4624
1140,3686,4557
1141,4557,4577
1142,4577,4584
1143,4584,4611
1144,4611,4610
1145,4610,4594
1146,3920,4584
1147,4627,4624
1148,4628,4624
1149,4630,4624
1150,4606,4624
1151,4629,4624
1152,4076,4624
1153,4626,4624
1154,4631,4606
1155,4632,4606
1156,4111,5487
1157,4111,5458
1158,4111,5409
1159,4111,4665
1160,4560,4588
1161,4561,4555
1162,3049,4586
1163,3282,4565
1164,3281,4565
1165,3033,3082
1166,4573,4152
1167,3817,4152
1168,3685,3686
1169,3973,4552
1170,3973,4085
1171,3973,4551
1172,4111,4626
1173,4111,4585
1174,4111,4560
1175,1535,3989
1176,1535,4626
1177,1535,4076
1178,1535,4629
1179,4625,4076
1180,4567,4087
1181,4001,5472
1182,5761,5472
1183,3277,5473
1184,1975,5473
1185,4624,3270
1186,4561,5474
1187,4624,4596
1188,4561,5475
1189,5762,5476
1190,4771,5476
1191,5442,5481
1192,5425,5477
1193,4112,5425
1194,4637,5428
1195,5441,5752
1196,4605,4608
1197,5759,5478
1198,5760,5478
1199,4639,5478
1200,4646,4645
1201,3946,4646
1202,5445,6516
1203,5411,5411
1204,5445,5470
1205,5411,5401
1206,4576,3659
1207,5412,5423
1208,5423,5429
1209,4561,4600
1210,5401,5435
1211,3977,5493
1212,5493,5485
1213,4645,5799
1214,4645,5778
1215,5429,5445
1216,5478,3977
1217,4645,5470
1218,5429,5411
1219,5408,5445
1220,5478,5470
1221,4847,5496
1222,5496,5403
1223,5494,5495
1224,5476,4847
1225,5476,5467
1226,5476,5494
1227,5464,4585
1228,5498,5405
1229,5768,5469
1230,5468,5784
1231,4087,4847
1232,4087,4554
1233,4087,5494
1234,4087,5464
1235,4087,5498
1236,4087,5768
1237,5428,5768
1238,5472,4847
1239,5472,5467
1240,5472,5494
1241,5472,5464
1242,5472,5498
1243,5472,5768
1244,5768,6496
1245,5473,4847
1246,5473,5467
1247,5473,5494
1248,5473,5464
1249,5473,5498
1250,5478,5468
1251,5473,5468
1252,5474,4847
1253,5474,5467
1254,5474,5494
1255,5474,5464
1256,5474,5498
1257,5474,5768
1258,5474,5499
1259,5475,4847
1260,5475,5446
1261,5475,5494
1262,5475,5464
1263,5475,5498
1264,5475,5768
1265,5475,5499
1266,5476,5464
1267,5476,5498
1268,5476,5768
1269,5476,5499
1270,5477,4847
1271,5477,5467
1272,5477,5494
1273,5477,5464
1274,5477,5498
1275,5477,5768
1276,5477,5499
1277,4608,4847
1278,4608,5447
1279,4608,5494
1280,4608,5464
1281,4608,5498
1282,4608,5768
1283,5430,5499
1284,5478,4847
1285,5478,5467
1286,5478,5494
1287,5478,5464
1288,5478,5498
1289,5486,6513
1290,6513,6483
1291,3396,4461
1292,4624,4001
1293,4624,5761
1294,4624,3277
1295,4624,1975
1296,3267,3270
1297,4624,4561
1298,4624,5762
1299,4624,4771
1300,4624,5442
1301,4624,4808
1302,4624,4637
1303,4624,5441
1304,4624,4605
1305,4624,5759
1306,4624,5760
1307,4624,4639
1308,5479,5479
1309,3704,5479
1310,5462,4553
1311,4125,5462
1312,5492,4125
1313,5461,4125
1314,5755,5462
1315,5453,5462
1316,5754,5492
1317,5754,5461
1318,5754,5755
1319,5754,5453
1320,3700,5415
1321,5415,5754
1322,5421,5420
1323,4598,4636
1324,4597,4636
1325,5422,5486
1326,5407,5422
1327,4593,4636
1328,4649,5417
1329,4583,4636
1330,6060,3033
1331,1961,5458
1332,2036,5458
1333,4111,4554
1334,4152,5458
1335,1961,5487
1336,2036,5487
1337,4552,4111
1338,4152,5487
1339,1961,5757
1340,2036,5757
1341,4590,4588
1342,4152,5757
1343,1961,5409
1344,2036,5409
1345,4551,4111
1346,4152,5409
1347,1961,4665
1348,2036,4665
1349,4085,4111
1350,4152,4665
1351,4847,4848
1352,6546,4848
1353,5476,6546
1354,5476,5497
1355,5476,5443
1356,5476,5444
1357,5467,5779
1358,6495,6498
1359,6467,6495
1360,5447,6454
1361,5446,5447
1362,5475,5471
1363,4554,6467
1364,5471,4554
1365,3961,6462
1366,6462,6508
1367,3684,5771
1368,5771,5786
1369,5465,6497
1370,6497,6511
1371,5464,5465
1372,5464,3684
1373,3280,3684
1374,4555,5464
1375,4170,5335
1376,4096,6496
1377,3279,3684
1378,5335,5376
1379,4562,3961
1380,4096,3961
1381,3594,5335
1382,1967,3961
1383,4600,5471
1384,4152,5307
1385,3594,4170
1386,4604,5446
1387,5430,5467
1388,4208,5467
1389,3661,6474
1390,6474,6512
1391,3977,6507
1392,6507,3661
1393,6516,3661
1394,5770,6519
1395,6519,6473
1396,4624,5770
1397,4640,5799
1398,4640,5797
1399,4635,5799
1400,3272,5799
1401,5797,3260
1402,5799,3263
1403,3263,6520
1404,5769,5469
1405,5469,5777
1406,5411,5411
1407,5777,5420
1408,1715,3683
1409,1717,1718
1410,5411,5411
1411,5499,5795
1412,5499,6457
1413,6501,6453
1414,6453,1720
1415,6457,6501
1416,5795,6453
1417,5784,6488
1418,6488,6515
1419,6480,6513
1420,4783,5443
1421,3646,6476
1422,6051,3033
1423,5785,3033
1424,4622,5785
1425,5585,6618
1426,5585,6640
1427,5585,6081
1428,6081,6572
1429,6618,6623
1430,6623,6647
1431,6640,6628
1432,6647,6628
1433,6572,6628
1434,4419,4408
1435,6628,4419
1436,6135,6571
1437,6571,6580
1438,6580,5585
1439,6568,6594
1440,6594,6595
1441,6595,6596
1442,6596,6584
1443,6584,6583
1444,6583,6135
1445,6568,6598
1446,6590,6601
1447,6601,6602
1448,6602,6135
1449,5589,6071
1450,6071,6064
1451,6064,6135
1452,6062,6065
1453,6065,5585
1454,6148,6586
1455,6586,6574
1456,6574,5585
1457,6606,5585
1458,6551,5585
1459,6620,5585
1460,6136,5585
1461,6138,5585
1462,6149,5585
1463,6604,6573
1464,6573,6606
1465,6146,6150
1466,6150,6551
