find_id,within_context_id
14071,1907
14074,1907
13901,1890
13934,1893
13937,1893
14001,1900
14004,1900
14141,1914
14144,1914
14147,1914
14148,1914
14151,1915
14154,1915
14158,1915
14160,1915
14201,1920
14078,1907
14204,1920
14206,1920
14221,1922
14231,1923
14234,1923
14238,1923
14261,1926
14263,1926
14264,1926
14268,1926
1246,1796
1247,1796
14341,1934
14344,1934
14347,1934
14348,1934
14481,1948
14521,1952
14524,1952
14526,1952
14541,1954
14544,1954
14753,1975
14758,1975
14768,1976
1250,1989
1254,1796
1255,1905
1257,1796
1260,2009
13441,1844
13444,1844
13448,1844
13491,1849
14861,1986
14864,1986
14866,1986
14868,1986
14891,1989
14893,1989
14894,1989
14895,1989
14898,1989
14900,1989
14751,1975
15051,2005
15054,2005
15058,2005
15068,2006
15091,2009
15093,2009
15094,2009
15096,2009
15291,2029
15294,2029
15298,2029
15514,2051
15518,2051
15518,2051
15519,2051
15520,2051
15681,2068
15688,2068
15691,2069
15814,2081
15817,2081
16381,2138
16384,2138
16388,2138
16431,2143
13741,1874
15421,2042
15424,2042
15425,2042
15426,2042
15428,2042
15621,2062
15628,2062
15641,2064
15645,2064
16434,2143
16437,2143
16438,2143
10311,1531
11641,1664
11643,1664
11644,1664
11711,1671
11713,1671
11714,1671
11718,1671
11720,1671
9654,1465
9658,1465
13648,1864
11791,1679
11794,1679
11798,1679
11871,1687
11874,1687
11877,1687
11878,1687
11188,1688
11888,1688
11881,1688
9721,1472
9724,1472
9725,1472
9728,1472
9741,1474
9743,1474
9744,1474
9745,1474
9761,1476
9764,1476
9765,1476
9767,1476
9768,1476
9771,1477
9774,1477
9881,1488
9883,1488
9884,1488
9885,1488
9981,1498
9983,1498
9984,1498
9987,1498
9988,1498
10171,1517
10175,1517
10451,1545
10457,1545
10458,1545
10531,1553
10538,1553
10540,1553
10801,1580
10821,1582
10824,1582
10825,1582
11221,1622
11224,1622
11228,1622
11361,1636
11364,1636
11541,1654
11548,1654
