find_id,find_material
19568,Animal Bone
19608,BONE
19701,POTTERY
19703,CERAMIC
19708,Animal Bone
19710,NATURAL
19711,POTTERY
19714,IRON
19715,GLASS
19718,Animal Bone
19720,NATURAL
19738,BONE
19961,POTTERY
12061,POTTERY
13111,POTTERY
15011,POTTERY
15351,POTTERY
15731,POTTERY
15741,POTTERY
15744,IRON
17841,POTTERY
17846,STONE
17848,Animal Bone
17871,POTTERY
17872,CBM
17873,CERAMIC
17876,STONE
17878,Animal Bone
17880,NATURAL
5162,CBM
6262,CBM
6402,CBM
6412,CBM
6632,CBM
6682,CBM
7772,CBM
8622,CBM
9882,CBM
11712,CBM
12562,CBM
12572,CBM
12612,CBM
12642,CBM
12682,CBM
12712,CBM
12722,CBM
12752,CBM
12882,CBM
12962,CBM
13002,CBM
13092,CBM
13442,CBM
13642,CBM
13692,CBM
13932,CBM
14002,CBM
14052,CBM
14072,CBM
14152,CBM
14202,CBM
14222,CBM
14262,CBM
14342,CBM
14462,CBM
14482,CBM
14522,CBM
14752,CBM
14862,CBM
14892,CBM
15052,CBM
15092,CBM
15182,CBM
15292,CBM
15422,CBM
15642,CBM
15682,CBM
15692,CBM
15732,CBM
15742,CBM
15812,CBM
16652,CBM
16902,CBM
17322,CBM
17332,CBM
17662,CBM
11562,CBM
11362,CBM
32050,CHARCOAL
5151,POTTERY
5158,Animal Bone
5181,POTTERY
6411,POTTERY
6413,CBM
6501,POTTERY
6508,Animal Bone
6511,POTTERY
6514,IRON
6521,POTTERY
6528,Animal Bone
6651,POTTERY
6681,POTTERY
6683,CBM
7541,POTTERY
7545,GLASS
10331,POTTERY
10441,POTTERY
10443,CBM
10444,IRON
10445,GLASS
10446,STONE
10448,Animal Bone
10450,OTHER
11223,CBM
11230,CHARCOAL
11401,POTTERY
11403,CBM
11404,IRON
11405,GLASS
11408,BONE
11410,CHARCOAL
12976,STONE
13181,POTTERY
13183,CBM
13184,IRON
13188,Animal Bone
13190,CHARCOAL
13443,CBM
13445,GLASS
13446,STONE
13449,GLASS
13450,CHARCOAL
13451,POTTERY
13454,IRON
13455,GLASS
13456,STONE
13458,BONE
14053,CBM
14121,POTTERY
14123,CBM
14124,IRON
14126,STONE
14128,Animal Bone
14129,OTHER
14611,POTTERY
14613,CBM
14614,IRON
14615,GLASS
14618,Animal Bone
15014,IRON
15018,BONE
15095,GLASS
15097,STONE
15098,Animal Bone
15231,POTTERY
15234,IRON
15251,POTTERY
15256,STONE
15361,POTTERY
15364,IRON
15367,STONE
15368,Animal Bone
15369,PLASTER
15694,IRON
