"ID","REC_TYPE","FNO","D_DATA","D_DIAM","D_LENGTH","D_WIDTH","D_THICK","D_HEIGHT","D_WEIGHT","D_AREA","D_VOLUME"
627,"SF",2859,"Primary",37,0,0,3,0,0,0,0
628,"SF",3482,,16,0,0,9,0,0,0,0
629,"SF",2866,"Primary",0,24,0,0,0,0,0,0
630,"SF",2576,"D. of scoop",4,100,0,0,0,0,0,0
631,"SF",2882,"Primary",53,0,0,5,0,0,0,0
632,"SF",2924,,12,0,0,4,0,0,0,0
633,"SF",2928,,0,51,25,8,0,0,0,0
634,"SF",2949,,5,140,0,0,0,0,0,0
635,"SF",2952,,0,30,10,3,0,0,0,0
636,"SF",2589,,0,54,0,0,0,0,0,0
637,"SF",3496,,0,45,18,10,0,0,0,0
638,"SF",2961,"Tweezers",0,54,5,0,0,0,0,0
639,"SF",2958,,0,30,22,0,0,0,0,0
640,"SF",2964,,0,32,14,0,0,0,0,0
641,"SF",3086,,0,25,24,0,0,0,0,0
642,"SF",2967,"Largest piece",0,110,90,11,0,0,0,0
643,"SF",2974,,0,65,70,12,0,0,0,0
644,"SF",2975,,24,0,0,0,0,0,0,0
645,"SF",2977,,12,0,0,0,9,0,0,0
646,"SF",2980,,4,130,5,0,0,0,0,0
647,"SF",3018,,29,23,0,0,0,0,0,0
648,"SF",2985,,8,43,20,0,0,0,0,0
649,"BF",13441,,0,0,0,0,0,0,0,0
650,"SF",2995,,0,203,170,55,0,0,0,0
651,"SF",2998,,0,51,23,8,0,0,0,0
652,"SF",2999,,0,27,15,0,0,0,0,0
653,"SF",2713,,0,6,0,0,0,0,0,0
654,"SF",3002,,21,0,0,0,0,0,0,0
655,"SF",3005,,12,55,0,0,0,0,0,0
656,"SF",3006,,12,55,0,0,0,0,0,0
657,"SF",3008,"Largest piece o",0,115,51,15,0,0,0,0
658,"SF",2635,,19,0,0,15,0,0,0,0
659,"SF",2613,,0,76,0,0,0,0,0,0
660,"SF",3919,,0,22,12,0,0,0,0,0
661,"SF",3024,,1,10,0,0,0,0,0,0
662,"SF",3025,,0,63,0,0,0,0,0,0
663,"SF",3029,"largest frag.",0,46,26,18,0,0,0,0
664,"SF",3037,,0,0,62,0,20,0,0,0
665,"SF",3040,,0,30,22,2,0,0,0,0
666,"SF",3044,,0,43,0,1,0,0,0,0
667,"SF",3049,,0,37,12,0,0,0,0,0
668,"SF",3050,,5,152,0,0,0,0,0,0
669,"SF",3055,,7,0,0,0,0,0,0,0
670,"SF",3179,,4,12,0,0,0,0,0,0
671,"SF",3068,,3,20,0,0,0,0,0,0
672,"SF",3069,,0,35,23,4,0,0,0,0
673,"SF",3076,,2,36,1,0,0,0,0,0
674,"SF",979,,16,0,0,0,8,0,0,0
675,"SF",3079,,0,55,35,10,0,0,0,0
676,"SF",3082,,4,14,0,2,0,0,0,0
677,"SF",2437,"D. of hole",9,0,0,0,0,0,0,0
678,"SF",3084,,0,35,19,0,0,0,0,0
679,"SF",807,,16,14,0,0,0,0,0,0
680,"SF",3094,,0,43,23,2,0,0,0,0
681,"SF",3095,,140,0,0,0,140,0,0,0
682,"SF",3096,,110,0,0,0,115,0,0,0
683,"SF",2957,,44,0,0,11,0,0,0,0
684,"SF",3017,,0,32,10,0,0,0,0,0
685,"SF",3113,,0,25,0,5,0,0,0,0
686,"SF",3131,,0,147,73,33,0,0,0,0
687,"SF",3133,,0,35,0,0,0,0,0,0
688,"SF",3142,,0,50,22,5,0,0,0,0
689,"SF",3145,,0,10,10,13,0,0,0,0
690,"SF",3075,,10,57,0,0,0,0,0,0
691,"SF",4060,,0,86,5,0,0,0,0,0
692,"SF",3155,,0,140,0,1,0,0,0,0
693,"SF",3156,,0,50,60,6,0,0,0,0
694,"SF",3164,,0,106,68,30,0,0,0,0
695,"SF",2353,,0,8,7,0,0,0,0,0
696,"SF",3167,,68,0,0,4,0,0,0,0
697,"SF",3169,,0,37,20,0,0,0,0,0
698,"SF",3170,,0,45,35,5,0,0,0,0
699,"SF",3292,,0,64,8,0,0,0,0,0
700,"SF",3175,,0,70,50,8,0,0,0,0
701,"SF",3177,,0,65,45,10,0,0,0,0
