ID,PID,REC_TYPE,SFNO,MATERIAL,NAME,CONTEXT,AOD,EASTINGS,NORTHINGS,START_DATE,END_DATE,DATE_TERM,QUANTITY,SPOTDATE
2420,F2420,SF,975,Copper Alloy,Jewellery Hairpin,1254,0,0,0,0,0,,0,2nd AD
2421,F2421,SF,965,Pottery,Samian Stamp,1277,0,0,0,130,155,,0,
2422,F2422,SF,966,Pottery,Samian Stamp,1277,0,0,0,65,85,,0,
2434,F2434,SF,801,Copper Alloy,Tools Awl,1277,0,0,0,0,0,,0,Roman
2436,F2436,SF,803,Copper Alloy,Jewellery Brooch,1277,0,0,0,0,0,,0,AD43-80/5
2438,F2438,SF,805,Copper Alloy Lead,Fittings Boss,1476,0,0,0,0,0,,0,Roman
2439,F2439,SF,806,Iron,Tools Blade,1477,0,0,0,0,0,,0,
2440,F2440,SF,807,Glass,Jewellery Bead,1461,97.51,0,0,0,0,,0,Early Roman
2442,F2442,SF,810,Copper Alloy,Jewellery Bow Brooch,1277,0,0,0,0,0,,0,
2445,F2445,SF,814,Iron,Miscellaneous Fitting,1397,0,0,0,0,0,,0,
2458,F2458,SF,838,Copper Alloy,Jewellery Armlet,1461,0,0,0,0,0,,0,3rd-4th Cent
2472,F2472,SF,854,Pottery,Samian Stamp,1277,0,0,0,70,90,,0,
2474,F2474,SF,856,Pottery,Recreation Counter,1397,0,0,0,0,0,,0,
2482,F2482,SF,880,Pottery,Household Vessel,1622,0,0,0,0,0,,0,
2501,F2501,SF,916,Pottery,Household Vessel,1288,0,0,0,0,0,,0,
2513,F2513,SF,930,Copper Alloy,Dress/miscellaneous Strap-end,1580,0,0,0,0,0,,0,
2524,F2524,SF,945,Copper Alloy,Coin Illegible,1582,97.36,522,537,350,0,4th Century,0,
2527,F2527,SF,948,Iron,Tools,1277,0,0,0,0,0,,0,
2530,F2530,SF,951,Iron,Miscellaneous,1277,0,0,0,0,0,,0,
2538,F2538,SF,962,Copper Alloy,Miscellaneous Strip,1656,0,0,0,0,0,,0,Roman
2539,F2539,SF,963,Pottery,Household Vessel,1277,0,0,0,0,0,2nd Century,0,
2544,F2544,SF,971,Copper Alloy,Jewelley Armlet,1656,0,0,0,0,0,,0,AD 4th century
2547,F2547,SF,974,Pottery,Samian Stamp,1687,0,0,0,0,0,,0,
2551,F2551,SF,979,Copper Alloy,Fitting Boss,1656,0,0,0,0,0,,0,Roman
2552,F2552,SF,983,Copper Alloy,Coin Legible,1656,97.55,525,536.95,364,378,4th Century,0,
2588,F2588,SF,1015,Iron,Jewellery Finger-ring,1712,0,0,0,0,0,,0,
2610,F2610,SF,1078,Copper Alloy,Miscellaneous Strip,1788,0,0,0,0,0,,1,Roman
2612,F2612,SF,1082,Stone,Miscellaneous,1788,0,0,0,0,0,,1,
2671,F2671,SF,1110,Bone,Jewellery Hairpin,1756,0,0,0,0,0,,1,
2678,F2678,SF,1056,Iron,Miscellaneous Object,1756,0,0,0,0,0,,1,
2683,F2683,SF,1061,Iron,Miscellaneous Object,1756,0,0,0,0,0,,1,
2684,F2684,SF,1062,Shale,Jewellery Armlet,1761,0,0,0,0,0,,0,Roman
2685,F2685,SF,1063,Pottery,Samian Stamp,1761,0,0,0,155,185,,0,
2691,F2691,SF,1069,Pottery,Household Vessel,1796,0,0,0,0,0,,1,
2697,F2697,SF,1118,Bone,Jewellery Hairpin,1761,0,0,0,0,0,,1,
2744,F2744,SF,1074,Natural,Miscellaneous,1788,0,0,0,0,0,,1,
2746,F2746,SF,1077,Copper Alloy,Jewellery Brooch,1788,0,0,0,0,0,,1,AD65-85
2755,F2755,SF,1320,Pottery,Samian Stamp,2232,0,0,0,140,160,,0,
2780,F2780,BF,16651,POTTERY,household vessel,2165,0,0,0,0,0,;ROMAN;,0,
2781,F2781,BF,16654,IRON,Fittings Nails,2165,0,0,0,0,0,,0,
2782,F2782,BF,16658,Animal Bone,Animal Bone,2165,0,0,0,0,0,,0,
2824,F2824,SF,1121,Iron,Household Latch-lifter,1757,0,0,0,0,0,Victorian,0,
2843,F2843,BF,16901,POTTERY,household vessel,2190,0,0,0,0,0,;ROMAN;,0,
2844,F2844,BF,16904,IRON,Fittings Nails,2190,0,0,0,0,0,,0,
2845,F2845,BF,16907,STONE,;UNWORKED;,2190,0,0,0,0,0,,0,
2889,F2889,BF,17321,POTTERY,household vessel,2232,0,0,0,0,0,Roman,0,
2890,F2890,BF,17235,,;;,2232,0,0,0,0,0,,0,
2891,F2891,BF,17236,,;;,2232,0,0,0,0,0,,0,
2892,F2892,BF,17238,,;;,2232,0,0,0,0,0,,0,
2921,F2921,SF,1138,Pottery,Samian Stamp,1756,0,0,0,0,0,,1,
2930,F2930,SF,1286,Copper Alloy,Jewellery Brooch,2057,0,0,0,0,0,,0,AD43-80
2937,F2937,SF,1142,Pottery,Samian Stamp,1788,0,0,0,140,165,,1,
2938,F2938,SF,1143,Ceramic,Recreation Tobacco Pipe,1788,0,0,0,0,0,,1,
2972,F2972,SF,1158,Ceramic,Religion Figurine,1761,0,0,0,0,0,,1,Hadrianic-Antonine
2985,F2985,SF,1460,Iron,Fitting Terminal,2233,0,0,0,0,0,,0,
2986,F2986,SF,1461,Copper Alloy,Miscellaneous Fragments,2027,0,0,0,0,0,,0,Roman
2999,F2999,BF,17324,IRON,Fittings Nails,2232,0,0,0,0,0,,0,
3000,F3000,BF,17325,GLASS,Household Vessel,2232,0,0,0,0,0,;ROMAN;,0,
3001,F3001,BF,17326,STONE,"Buildings, Tesserae",2232,0,0,0,0,0,,37,
3002,F3002,BF,17328,Animal Bone,Animal Bone,2232,0,0,0,0,0,,0,
3003,F3003,BF,17331,POTTERY,household vessel,2233,0,0,0,0,0,;ROMAN;,0,
3004,F3004,BF,17334,IRON,Fittings Nails,2233,0,0,0,0,0,,0,
3005,F3005,BF,17337,STONE,;UNWORKED;,2233,0,0,0,0,0,,0,
3038,F3038,BF,17981,POTTERY,;VESSEL;,2298,0,0,0,0,0,;ROMAN;,0,
3039,F3039,BF,17985,GLASS,;VESSEL;,2298,0,0,0,0,0,;ROMAN;,0,
3040,F3040,SF,1204,Copper Alloy,Miscellaneous Shaft,1775,0,0,0,0,0,,1,Roman
3049,F3049,SF,1214,Pottery,Samian Stamp,1756,0,0,0,145,175,,1,
3060,F3060,SF,1476,Copper Alloy,Coin Legible,1900,97.42,525.41,539.67,364,378,4th Century,0,
3066,F3066,BF,17664,IRON,Fittings Nails,2266,0,0,0,0,0,,0,
3102,F3102,BF,12565,GLASS,;VESSEL;,1756,0,0,0,0,0,,0,
3103,F3103,BF,12567,STONE,;UNWORKED;,1756,0,0,0,0,0,,0,
3104,F3104,BF,12568,BONE,;ANIMAL;ASSORTED;TEETH;,1756,0,0,0,0,0,,0,
3105,F3105,BF,12570,NATURAL,Miscellaneous,1756,0,0,0,0,0,,0,
3106,F3106,BF,12571,POTTERY,Household Vessel,1757,0,0,0,0,0,,0
3107,F3107,BF,12573,CERAMIC BUILDING MATERIAL,Buildings,1757,0,0,0,0,0,,0
3108,F3108,BF,12574,IRON,Fittings Nails,1757,0,0,0,0,0,,0
3109,F3109,BF,12576,STONE,"Buildings, Tesserae",1757,0,0,0,0,0,,0
3110,F3110,BF,12577,STONE,", unworked,",1757,0,0,0,0,0,,0
3111,F3111,BF,12578,Animal Bone,Animal Bone,1757,0,0,0,0,0,,0
3112,F3112,BF,12580,CHARCOAL,;OTHER;,1757,0,0,0,0,0,,0
3117,F3117,BF,12611,POTTERY,;VESSEL;SAMIAN;,1761,0,0,0,0,0,,0
3118,F3118,BF,12613,CERAMIC BUILDING MATERIAL,;FLUE TILE;,1761,0,0,0,0,0,,0
3119,F3119,BF,12614,IRON,Nails Fastenings Slag Fragment,1761,0,0,0,0,0,,0
3120,F3120,BF,12615,GLASS,;VESSEL;,1761,0,0,0,0,0,,0
3121,F3121,BF,12617,STONE,;UNWORKED;,1761,0,0,0,0,0,,0
3122,F3122,BF,12618,BONE,;ANIMAL;ASSORTED;,1761,0,0,0,0,0,,0
3123,F3123,BF,12620,CHARCOAL,;OTHER;,1761,0,0,0,0,0,,0
3124,F3124,BF,12641,POTTERY,Household Vessel,1764,0,0,0,0,0,,0
3125,F3125,BF,12644,IRON,Fittings Nails,1764,0,0,0,0,0,,0
3126,F3126,BF,12645,GLASS,Household Vessel,1764,0,0,0,0,0,,0
3127,F3127,BF,12646,STONE,"Buildings, Tesserae",1764,0,0,0,0,0,,0
3130,F3130,BF,12681,POTTERY,Household Vessel,1768,0,0,0,0,0,;ROMAN;,0
3131,F3131,BF,12683,CERAMIC BUILDING MATERIAL,Buildings,1768,0,0,0,0,0,,0
3132,F3132,BF,12684,IRON,Fittings Nails,1768,0,0,0,0,0,,0
3133,F3133,BF,12687,STONE,;UNWORKED;,1768,0,0,0,0,0,,0
3134,F3134,BF,12688,Animal Bone,Animal Bone,1768,0,0,0,0,0,,0
